,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,TSLA,2018-01-10 00:00:00+00:00,334.8,337.0,330.0,332.2,4236168,22.32,22.4666666667,22.0,22.1466666667,63542520,0.0,1.0
1,TSLA,2018-01-11 00:00:00+00:00,337.95,344.81,333.26,335.24,6619082,22.53,22.9873333333,22.2173333333,22.3493333333,99286230,0.0,1.0
2,TSLA,2018-01-12 00:00:00+00:00,336.22,340.41,333.67,338.63,4805025,22.4146666667,22.694000000000003,22.244666666700002,22.575333333299998,72075375,0.0,1.0
3,TSLA,2018-01-16 00:00:00+00:00,340.06,345.0,334.8,337.54,6392397,22.6706666667,23.0,22.32,22.5026666667,95885955,0.0,1.0
4,TSLA,2018-01-17 00:00:00+00:00,347.16,349.0,339.75,340.47,7062337,23.144000000000002,23.2666666667,22.65,22.698,105935055,0.0,1.0
5,TSLA,2018-01-18 00:00:00+00:00,344.57,352.3,343.74,345.67,5619990,22.9713333333,23.4866666667,22.916,23.0446666667,84299850,0.0,1.0
6,TSLA,2018-01-19 00:00:00+00:00,350.02,350.59,342.6,345.0,4812052,23.334666666700002,23.372666666700002,22.84,23.0,72180780,0.0,1.0
7,TSLA,2018-01-22 00:00:00+00:00,351.56,357.83,349.2,349.4,6157941,23.4373333333,23.8553333333,23.28,23.293333333299998,92369115,0.0,1.0
8,TSLA,2018-01-23 00:00:00+00:00,352.79,360.5,351.0,360.0,5428872,23.5193333333,24.0333333333,23.4,24.0,81433080,0.0,1.0
9,TSLA,2018-01-24 00:00:00+00:00,345.89,354.75,343.52,354.58,5251654,23.0593333333,23.65,22.9013333333,23.6386666667,78774810,0.0,1.0
10,TSLA,2018-01-25 00:00:00+00:00,337.64,349.2,336.4,348.27,6640964,22.5093333333,23.28,22.4266666667,23.218000000000004,99614460,0.0,1.0
11,TSLA,2018-01-26 00:00:00+00:00,342.85,344.0,335.71,341.5,4515013,22.8566666667,22.9333333333,22.3806666667,22.7666666667,67725195,0.0,1.0
12,TSLA,2018-01-29 00:00:00+00:00,349.53,350.85,338.28,339.85,4722025,23.302,23.39,22.552,22.6566666667,70830375,0.0,1.0
13,TSLA,2018-01-30 00:00:00+00:00,345.82,348.27,342.17,345.14,4696465,23.0546666667,23.218000000000004,22.8113333333,23.0093333333,70446975,0.0,1.0
14,TSLA,2018-01-31 00:00:00+00:00,354.31,356.19,345.19,347.51,6076998,23.6206666667,23.746,23.0126666667,23.1673333333,91154970,0.0,1.0
15,TSLA,2018-02-01 00:00:00+00:00,349.25,359.66,348.63,351.0,4163194,23.2833333333,23.9773333333,23.241999999999997,23.4,62447910,0.0,1.0
